timestamp,name,raw_text_vosk,time_taken_sec
2026-06-11T20:01:44,Edward,hello to him today we discuss mobile app growth,4.78
2026-06-11T20:01:49,Dan,thanks for saying this up edward,3.14
2026-06-11T20:01:52,Aidan,can we talk to students first,2.84
2026-06-11T20:01:55,Marcos,i think we need to lower pricing for it'll users,4.46
2026-06-11T20:02:00,Dan,what kind of pricing are we talking about,3.56
2026-06-11T20:02:03,Marcos,maybe up freemium model with a cheap premium tier,6.31
2026-06-11T20:02:10,Edward,a freemium model works well for the students demographic,4.47
2026-06-11T20:02:14,Aidan,exactly they don't have much disposable income,3.6
2026-06-11T20:02:18,Dan,we could offer a university email discount,4.12
2026-06-11T20:02:22,Marcos,that he's a really great idea that,4.54
2026-06-11T20:02:26,Edward,how do we actually market to them on campus,4.01
2026-06-11T20:02:30,Aidan,we could start a campus ambassador program,4.12
2026-06-11T20:02:34,Dan,or run targeted social media ads during exam season,5.38
2026-06-11T20:02:40,Marcos,paid ads might be too expensive for us right through,5.03
2026-06-11T20:02:45,Edward,let's stick to organic growth in word of mouth first,3.75
2026-06-11T20:02:49,Aidan,campus and buster programs will cost us very little,3.69
2026-06-11T20:02:52,Dan,i could build referral code system into the app settings,4.74
2026-06-11T20:02:57,Marcos,perfect we leave them points for every successful sign up,6.42
2026-06-11T20:03:03,Edward,what do the points actually get them,3.11
2026-06-11T20:03:06,Aidan,the mom's of the premium tier subscription,2.84
2026-06-11T20:03:09,Marcos,that keeps our gaspar and long while growing the user base,6.59
2026-06-11T20:03:16,Dan,should we launch an ios and android at the same time,4.65
2026-06-11T20:03:21,Edward,let's just focus on ios first for the initial beta test,5.14
2026-06-11T20:03:26,Aidan,most students i know use iphones anyway,3.35
2026-06-11T20:03:29,Marcos,we will save a lot of development time that way,5.38
2026-06-11T20:03:34,Dan,sounds good i will update the product roadmap to do,4.86
2026-06-11T20:03:39,Edward,great meeting everyone let's get to work and execute on this,5.24
